Date,close,RSI14,RSI50,STOCH14K,STOCH14D,longOutput,shortOutput
2015/3/17,127.04,55.73296938,60.8583691,36.07465075,24.72462256,1,0
2015/3/18,128.47,58.68913571,61.54642343,56.11991679,38.86852984,0,1
2015/3/19,127.495,55.9458586,60.80280536,67.62110629,53.27189128,0,1
2015/3/20,125.9,51.68934749,59.60073814,66.03062428,63.25721579,1,0
2015/3/23,127.21,54.73541591,60.25919351,63.95296128,65.86823062,0,1
2015/3/24,126.69,53.29883143,59.86398661,62.59445844,64.19268133,0,1
2015/3/25,123.38,45.17168045,57.41803367,52.01511335,59.52084435,1,0
2015/3/26,124.24,47.41523047,57.87435774,39.5465995,51.38539043,0,1
2015/3/27,123.25,45.12605233,57.15488935,25.39512038,38.98561107,1,0
2015/3/30,126.37,52.85165334,58.80189869,38.79660314,34.57944101,0,1
2015/3/31,124.43,48.29831551,57.40185439,40.09577462,34.76249938,0,1
2015/4/1,124.25,47.8860888,57.27274936,41.35656322,40.08298033,1,0
2015/4/2,125.32,50.58600368,57.84782167,34.25245182,38.56826322,1,0
2015/4/6,127.35,55.3158482,58.91823807,45.82318211,40.47739905,0,1
2015/4/7,126.01,51.79172786,57.92740725,54.57655516,44.88406303,0,1
2015/4/8,125.6,50.72684281,57.62484655,55.98109885,52.12694537,1,0
2015/4/9,126.56,53.15553604,58.14714034,54.91263894,55.15676432,1,0
2015/4/10,127.1,54.5136936,58.44115132,64.97235805,58.62203195,0,1
2015/4/13,126.85,53.73691801,58.24784838,73.65343547,64.51281082,0,1
2015/4/14,126.3,51.9820255,57.8185262,71.55366459,70.05981937,1,0
2015/4/15,126.78,53.41195774,58.09359184,67.72752652,70.97820886,0,1
2015/4/16,126.17,51.32037651,57.60645801,63.19682433,67.49267181,0,1
2015/4/17,124.75,46.73262767,56.48144309,52.59281913,61.17238999,1,0
2015/4/20,127.6,55.35827948,58.15507646,56.6762058,57.48861642,0,1
2015/4/21,126.91,53.11572661,57.60775192,60.69469835,56.65457443,1,0
2015/4/22,128.62,57.69012088,58.59323581,82.1925603,66.52115482,1,0
2015/4/23,129.67,60.25444458,59.18769402,83.99849985,75.62858617,1,0
2015/4/24,130.28,61.70649405,59.53210352,92.22341311,86.13815775,1,0
2015/4/27,132.65,66.78392826,60.842175,92.15859583,89.46016959,0,1
2015/4/28,130.56,59.31487711,59.11994848,83.10231048,89.1614398,0,1
2015/4/29,128.64,53.40577714,57.59176742,65.48259827,80.24783486,0,1
2015/4/30,125.15,44.69048998,54.95688641,36.27645503,61.62045459,1,0
2015/5/1,128.95,53.57422296,57.13573989,30.95238095,44.23714475,0,1
2015/5/4,128.7,52.97141585,56.95080034,31.15079365,32.79320988,0,1
2015/5/5,125.8,46.44329511,54.84932109,33.30026455,31.80114638,0,1
2015/5/6,125.01,44.82275811,54.29243343,23.37188006,29.27431275,1,0
2015/5/7,125.26,45.47118289,54.44179874,15.01559379,23.8959128,1,0
2015/5/8,127.62,51.29047536,55.83211678,23.2856291,20.55770098,0,1
2015/5/11,126.32,48.23669575,54.89055145,27.19141324,21.83087871,0,1
2015/5/12,125.865,47.17794742,54.56192839,28.99522958,26.4907573,1,0
2015/5/13,126.01,47.57287054,54.6502173,24.19499106,26.79387796,1,0
2015/5/14,128.95,54.93058914,56.40287615,32.03637448,28.40886504,0,1
2015/5/15,128.77,54.42695979,56.26702128,40.69767442,32.30967998,1,0
2015/5/18,130.19,57.7202479,57.09884763,60.45968217,44.39791036,0,1
2015/5/19,130.07,57.34312693,57.00534883,73.5359233,58.2310933,0,1
2015/5/20,130.06,57.30952357,56.99741238,86.71476566,73.57012371,1,0
2015/5/21,131.39,60.61524203,57.79485938,91.41772566,83.88947154,1,0
2015/5/22,132.54,63.26408723,58.47428895,93.51664928,90.54971353,0,1
2015/5/26,129.62,53.43670662,56.13299345,85.92130577,90.2852269,1,0
2015/5/27,132.045,59.11661065,57.57258943,83.44359247,87.62718251,0,1
2015/5/28,131.78,58.27997668,57.36267607,80.06801871,83.14430565,0,1
2015/5/29,130.28,53.65150175,56.17957438,80.68581417,81.39914178,1,0
2015/6/1,130.535,54.31573226,56.33579597,74.17177914,78.30853734,0,1
2015/6/2,129.96,52.48904511,55.87744035,64.90739941,73.25499757,1,0
2015/6/3,130.12,52.96308424,55.97913608,59.55832564,66.21250139,0,1
2015/6/4,129.36,50.39118868,55.36067699,44.2373138,56.23434628,0,1
2015/6/5,128.65,48.04399661,54.78370482,27.13232668,43.64265537,0,1
2015/6/8,127.8,45.32223193,54.09498124,15.41612731,28.92858926,0,1
2015/6/9,127.42,44.1188999,53.78651647,15.52617132,19.35820844,1,0
2015/6/10,128.88,49.6501846,54.79706781,28.21386101,19.71871988,0,1
2015/6/11,128.59,48.620718,54.55527383,36.41723356,26.71908863,0,1
2015/6/12,127.17,43.82863466,53.37843161,35.3413025,33.32413236,0,1
2015/6/15,126.92,43.02463378,53.17237188,27.08282642,32.94712083,1,0
2015/6/16,127.6,45.93004861,53.66878566,24.03997895,28.82136929,0,1
2015/6/17,127.3,44.84357721,53.41387849,26.55813355,25.89364631,1,0
2015/6/18,127.88,47.43256273,53.84633963,33.08806611,27.89539287,0,1
2015/6/19,126.6,42.67214895,52.74374121,28.8018767,29.48269212,1,0
2015/6/22,127.61,47.17706526,53.5102267,31.66505953,31.18500078,0,1
2015/6/23,127.03,44.99064047,53.00643186,28.08482901,29.51725508,1,0
2015/6/24,128.11,49.66827101,53.83232641,40.14623252,33.29870702,0,1
2015/6/25,127.5,47.22563959,53.29252689,41.4202509,36.55043747,0,1
2015/6/26,126.75,44.33844867,52.63041483,40.20467836,40.59038726,0,1
2015/6/29,124.53,37.1069361,50.72684561,22.29532164,34.64008363,1,0
2015/6/30,125.425,41.26597659,51.44923596,14.07894737,25.52631579,1,0
2015/7/1,126.6,46.28781495,52.38442489,19.10192147,18.49206349,0,1
2015/7/2,126.44,45.71462973,52.24459478,31.09022556,21.42369813,0,1
2015/7/6,126,44.09744688,51.85617121,35.0877193,28.42662211,0,1
2015/7/7,125.69,42.94476917,51.58047392,32.41810995,32.8653516,0,1
2015/7/8,122.57,33.46389265,48.90995228,20.27514924,29.26032616,0,1
2015/7/9,120.07,28.10896953,46.92357734,13.42934854,22.04086925,1,0
2015/7/10,123.28,41.13430125,49.60514721,15.60718024,16.43722601,1,0
2015/7/13,125.66,48.57397137,51.46050872,35.75929427,21.59860768,0,1
2015/7/14,125.61,48.43547682,51.41992603,53.21361059,34.86002836,1,0
2015/7/15,126.82,52.00205514,52.34790471,65.80628175,51.5930622,1,0
2015/7/16,128.51,56.52504786,53.61081309,78.63585627,65.88524953,1,0
2015/7/17,129.62,59.24173656,54.42041296,91.83686446,78.75966749,1,0
2015/7/20,132.07,64.5128216,56.14425394,97.60427807,89.3589996,0,1
2015/7/21,130.75,60.00984793,55.00064802,92.43636364,93.95916872,0,1
2015/7/22,125.22,45.63791836,50.59505595,73.64848485,87.89637552,0,1
2015/7/23,125.16,45.51056349,50.55022689,56.8969697,74.32727273,0,1
2015/7/24,124.5,44.05424983,50.05244005,41.74545455,57.43030303,0,1
2015/7/27,122.77,40.4045293,48.76794957,35.80606061,44.81616162,1,0
2015/7/28,123.38,42.22214323,49.23666948,31.49090909,36.34747475,0,1
2015/7/29,122.99,41.35373764,48.94453383,23.73626056,30.34441009,0,1
2015/7/30,122.37,39.94710899,48.47793781,17.08401879,24.10372948,0,1
2015/7/31,121.3,37.57188564,47.67752043,8.077113917,16.29913109,0,1
2015/8/3,118.44,32.08109136,45.62299129,5.016659962,10.05926422,0,1
2015/8/4,114.64,26.53281848,43.1046518,5.412401648,6.168725176,1,0
2015/8/5,115.4,29.1711745,43.73844297,9.605181559,6.678081056,0,1
2015/8/6,115.13,28.77580572,43.56252647,12.45976655,9.159116586,1,0
2015/8/7,115.52,30.24642564,43.89512371,15.58571036,12.55021949,1,0
2015/8/10,119.72,43.72284211,47.30751159,27.25961659,18.43503117,0,1
2015/8/11,113.49,33.41127912,43.31952114,25.5110836,22.78547018,1,0
2015/8/12,115.24,37.8455577,44.65677059,31.64327636,28.13799218,0,1
2015/8/13,115.15,37.70648959,44.60154921,27.58380067,28.24605354,1,0
2015/8/14,115.96,39.84880824,45.22360568,39.26876151,32.83194618,1,0
2015/8/17,117.16,42.97753857,46.13789918,45.75767582,37.536746,0,1
2015/8/18,116.5,41.69303654,45.70970845,50.47098477,45.16580737,0,1
2015/8/19,115.01,38.8686767,44.75291753,49.47669464,48.56845174,0,1
2015/8/20,112.65,34.84263797,43.28844822,39.15957836,46.36908593,0,1
2015/8/21,105.76,26.28315411,39.44329822,21.82833969,36.82153757,0,1
2015/8/24,103.12,23.86407262,38.11942546,21.28954428,27.42582078,1,0
2015/8/25,103.74,25.59604704,38.61317859,27.49123293,23.5363723,1,0
2015/8/26,109.69,39.75900397,43.06211358,48.29105633,32.35727784,1,0
2015/8/27,112.92,45.79148137,45.2597078,59.96189115,45.24806014,1,0
2015/8/28,113.29,46.45297068,45.50555853,73.08791391,60.4469538,0,1
2015/8/31,112.76,45.59469185,45.20877812,78.99942366,70.68307624,0,1
2015/9/1,107.72,38.34017701,42.51803319,74.51461393,75.53398384,1,0
